kind,feature,auc_drop_mean,auc_drop_std
stat,D_warm_autocorr_1h,0.003180006395076953,0.0021050815008778682
stat,D_cold_mean_kwh,0.0030647135894687283,0.0015964228322936775
stat,B_month07_mean_kwh,0.003048829360875826,0.0016366418317935712
stat,A_p25,0.00300214048467137,0.0020521146051788036
stat,A_p10,0.002844735661179594,0.0011390439544365619
stat,B_month03_mean_kwh,0.0027621157944088723,0.0008653571083777589
stat,D_hot_temp_load_corr,0.0027508462389267364,0.0013886111963151194
stat,B_winter_mean_kwh,0.002720409205057521,0.0013151369157069898
stat,A_p99_p01_ratio,0.0026388023106262313,0.0011339640233729088
stat,C_overnight_ratio,0.0026195372800898115,0.0006188021291984293
stat,B_month12_mean_kwh,0.0025927919978516603,0.0015504847237532073
stat,B_month02_mean_kwh,0.002541738836935718,0.002031667613778644
stat,D_hot_std_kwh,0.0025257285775775085,0.0018167302970529056
stat,B_month04_mean_kwh,0.002323212008873297,0.0014788585839561825
stat,E_power_p90_p10_ratio,0.002198805383981437,0.0003029909900120772
stat,A_min_kwh,0.0021329235735308805,0.002195241400968724
stat,A_kurtosis,0.0021246943352402426,0.0005223157829254814
stat,E_slope_warm,0.002123519306736905,0.001964834519148514
stat,D_hot_autocorr_1h,0.0020916398163103667,0.002244349049016354
profile,peak_day,0.001991639400681291,0.0005522628907464965
stat,A_mad,0.001866052060661474,0.0009630012539523457
stat,D_cold_max_kwh,0.001853220462697882,0.0011128358660606812
stat,A_p75,0.0017902519984849263,0.0008640718299771459
stat,B_fall_std_kwh,0.0016982480435917147,0.0008764702059556178
stat,B_summer_std_kwh,0.0016818649893442748,0.0017181723268807627
stat,D_hot_ramp_std,0.0015898359475907584,0.0005167212899795606
stat,E_slope_zone40_65F,0.001544513256407152,0.00047885066647114646
stat,B_summer_mean_kwh,0.0014773661593476995,0.0015633952100851378
stat,D_cold_ramp_abs_mean,0.0013869696742205484,0.0011943429749752394
profile,winter_weekday,0.0013868458675572893,0.0011314566327610652
stat,A_annual_std_kwh,0.0013574735618934232,0.00035939070515259947
stat,E_slope_kink_ratio,0.001293378246260688,0.0014163213781405168
stat,D_mild_mean_kwh,0.0012903374488653177,0.0012451693536098475
stat,D_warm_temp_load_corr,0.0012454672866299044,0.001364828694670356
stat,B_month06_mean_kwh,0.0011926061430373824,0.0012451018347966287
stat,D_warm_max_kwh,0.0011264757790717093,0.0005337146735316368
stat,A_skew,0.0010284715203181393,0.0010189549916645548
stat,A_p90,0.001002659248895399,0.0006095753385957535
stat,A_p85,0.0009135702678781099,0.000581863574317487
stat,B_month11_mean_kwh,0.0008930095209727674,0.0011683871854604967
stat,B_month08_mean_kwh,0.0008648323769907494,0.0011522846312996432
stat,C_midday_ratio,0.0008642208651832739,0.001234362120208572
stat,A_above_mean_ratio,0.0008080403301380911,0.001047183508042932
stat,B_spring_std_kwh,0.0007840951115208706,0.0011312185080315604
stat,A_load_factor,0.0006444002466221032,0.00047560371739881533
stat,D_warm_std_kwh,0.0006277565073937819,0.0011573484406585588
stat,C_peak_hour,0.0006018452634292437,0.0005314953469090633
stat,A_p99,0.0006011623427812385,0.0005455214584256164
stat,C_trough_hour,0.0005614735346431354,0.0004936235122279123
stat,A_annual_mean_kwh,0.0005376100669410545,0.0010170649199427713
stat,C_evening_peak_ratio,0.0005286944909728764,0.0006949688479147568
stat,B_spring_mean_kwh,0.0005123052446231214,0.0007927778289198922
stat,C_evening_morning_ratio,0.0005037284802755737,0.0007974512134076717
stat,A_p05,0.0004941813503074943,0.0006568455432936013
stat,B_fall_mean_kwh,0.00040066479371075653,0.00042294365520983534
stat,B_month09_mean_kwh,0.0003857235287900229,0.00040739997230814786
profile,shoulder_weekday,0.0003619052356337082,0.000538054698566186
stat,A_p95,0.00029329451766386684,0.0003026791092244271
profile,summer_weekday,0.00022894748422535032,0.0017494997266226937
stat,A_annual_sum_kwh,0.0002257459600724765,0.00032302288991460523
stat,D_warm_ramp_std,0.00013094758268989096,0.0007220676349577933
stat,A_zero_hours_ratio,9.438751496466225e-05,0.0002607770678393446
stat,D_hot_mean_kwh,9.302201739350923e-05,0.000841919976876164
stat,B_month05_mean_kwh,3.6437499482460136e-05,0.0011343672689678268
stat,D_warm_n_hours,0.0,0.0
stat,D_cold_n_hours,0.0,0.0
stat,D_mild_n_hours,0.0,0.0
stat,D_hot_n_hours,0.0,0.0
stat,C_peak_hour_value,-2.5166776346319013e-06,0.0011451976629014548
stat,A_p50,-6.729500490143536e-05,0.00031305614350158267
stat,C_morning_peak_ratio,-0.00041570853918873504,0.0006971148615666905
